Filename,Filename_old,espn_id,Round,StartDate,EndDate,Team1,Team2,Start,End,End Time Source,DT_Start,DT_End
MdHawaii_clean.csv,MdHawaii.csv,400872218,R32,20-Mar,20-Mar,Hawaii,Maryland,19:10,21:21,https://twitter.com/marchmadness/status/711724301330862081,3/20/16 19:10,3/20/16 21:21
NDSFAustin_clean.csv,NDSFAustin.csv,400872251,R32,20-Mar,20-Mar,Stephen F. Austin,Notre Dame,14:40,16:49,https://twitter.com/marchmadness/status/711655893029490688,3/20/16 14:40,3/20/16 16:49
SyracuseMTSU_clean.csv,SyracuseMTSU.csv,400872223,R32,20-Mar,20-Mar,Middle Tennessee,Syracuse,18:10,20:04,https://twitter.com/marchmadness/status/711705085168979968,3/20/16 18:10,3/20/16 20:04
MDKansas_clean.csv,MDKansas.csv,400872333,R16,24-Mar,24-Mar,Maryland,Kansas,21:40,23:55,https://twitter.com/marchmadness/status/713212717214081024,3/24/16 21:40,3/24/16 23:55
DukeOregon_clean.csv,DukeOregon.csv,400872397,R16,24-Mar,25-Mar,Duke,Oregon,22:10,0:16,https://twitter.com/marchmadness/status/713217865416056832,3/24/16 22:10,3/25/16 0:16
MiamiNova_clean.csv,MiamiNova.csv,400872358,R16,24-Mar,24-Mar,Miami,Villanova,19:10,21:09,https://twitter.com/marchmadness/status/713170983893512192,3/24/16 19:10,3/24/16 21:09
TexAMOkla_clean.csv,TexAMOkla.csv,400872390,R16,24-Mar,24-Mar,Texas A&M,Oklahoma,19:37,21:38,https://twitter.com/marchmadness/status/713178293969817600,3/24/16 19:37,3/24/16 21:38
IndianaUnc_clean.csv,IndianaUnc.csv,400872339,R16,25-Mar,26-Mar,UNC,Indiana,22:04,0:21,https://twitter.com/marchmadness/status/713581638706442240,3/25/16 22:04,3/26/16 0:21
GonzagaSyracuse_clean.csv,GonzagaSyracuse.csv,400872391,R16,25-Mar,25-Mar,Gonzaga,Syracuse,21:45,23:48,https://twitter.com/marchmadness/status/713573336370913281,3/25/16 21:45,3/25/16 23:48
OregonOkla_clean.csv,OregonOkla.csv,400873026,R8,26-Mar,26-Mar,Oklahoma,Oregon,18:09,20:11,https://twitter.com/marchmadness/status/713881105498292224,3/26/16 18:09,3/26/16 20:11
KansasVillanova_clean.csv,KansasVillanova.csv,400873025,R8,26-Mar,26-Mar,Villanova,Kansas,20:49,23:00,https://twitter.com/marchmadness/status/713923643596734464,3/26/16 20:49,3/26/16 23:00
UVAcuse_clean.csv,UVAcuse.csv,400873156,R8,27-Mar,27-Mar,Syracuse,Virginia,18:09,20:14,https://twitter.com/marchmadness/status/714244132244471808,3/27/16 18:09,3/27/16 20:14
UncND_clean.csv,UncND.csv,400873157,R8,27-Mar,27-Mar,UNC,Notre Dame,20:49,22:52,https://twitter.com/marchmadness/status/714283915125592064,3/27/16 20:49,3/27/16 22:52
UNCVillanova_clean.csv,UNCVillanova.csv,400873651,R2,4-Apr,4-Apr,UNC,Villanova,21:19,23:28,https://twitter.com/marchmadness/status/717192088937304064,4/4/16 21:19,4/4/16 23:28
=======,,,,,,,,,,,,
version https://git-lfs.github.com/spec/v1,,,,,,,,,,,,
oid sha256:911d77cb6471bd2a5d6c551a06c8d2dab0a466b213b243f983384a4f76614e0d,,,,,,,,,,,,
size 8484,,,,,,,,,,,,
>>>>>>> 9a8e447eb6fece1b0970547eadc9c321b37a61dc,,,,,,,,,,,,
