,Team1,Team2,Min_Start,Min_End,T1Score_Begin,T2Score_Begin,T1Score_End,T2Score_End,Margin_Period,Margin_TOT,WCT_Start,WCT_End,Vol_Period,Vol_Total,T1Vol_Period,T2Vol_Period,T1Vol_Total,T2Vol_Total,T1Sent_Period,T2Sent_Period,T1Sent_Total,T2Sent_Total,Margin_Prior,OPA_Margin,VolDiff_Total,VolDiff_Period,SentDiff_Total,SentDiff_Period,UnqIdentifier,VolDiff_Total_Lag1,VolDiff_Total_Lag2,VolDiff_Total_Lag3,VolDiff_Total_Lag4,VolDiff_Total_Lag5,SentDiff_Total_Lag1,SentDiff_Total_Lag2,SentDiff_Total_Lag3,SentDiff_Total_Lag4,SentDiff_Total_Lag5,Margin_TOT_Lag1,Margin_TOT_Lag2,Margin_TOT_Lag3,Margin_TOT_Lag4,Margin_TOT_Lag5,VolDiff_Period_Lag1,VolDiff_Period_Lag2,VolDiff_Period_Lag3,VolDiff_Period_Lag4,VolDiff_Period_Lag5,SentDiff_Period_Lag1,SentDiff_Period_Lag2,SentDiff_Period_Lag3,SentDiff_Period_Lag4,SentDiff_Period_Lag5,Margin_Period_Lag1,Margin_Period_Lag2,Margin_Period_Lag3,Margin_Period_Lag4,Margin_Period_Lag5
0,Middle Tennessee,Michigan State,0,1,0,0,2,2,0,0,14:50:00,14:52:12,75,0,9.0,68.0,0.0,0.0,2,1,0,0,0,NA,0.0,-59.0,0,1,Middle TennesseeMichigan State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Middle Tennessee,Michigan State,1,2,2,2,5,2,3,3,14:52:12,14:54:56,72,147,17.0,58.0,26.0,126.0,-3,0,-1,1,0,NA,-100.0,-41.0,-2,-3,Middle TennesseeMichigan State,0.0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,-59.0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA
2,Middle Tennessee,Michigan State,2,3,5,2,7,2,2,5,14:54:56,14:57:01,94,241,42.0,48.0,68.0,174.0,-8,-9,-9,-8,3,NA,-106.0,-6.0,-1,1,Middle TennesseeMichigan State,-100.0,0.0,NA,NA,NA,-2,0,NA,NA,NA,3,0,NA,NA,NA,-41.0,-59.0,NA,NA,NA,-3,1,NA,NA,NA,3,0,NA,NA,NA
3,Middle Tennessee,Michigan State,3,4,7,2,12,2,5,10,14:57:01,15:00:00,231,472,69.0,140.0,137.0,314.0,-2,-49,-11,-57,5,0,-177.0,-71.0,46,47,Middle TennesseeMichigan State,-106.0,-100.0,0.0,NA,NA,-1,-2,0,NA,NA,5,3,0,NA,NA,-6.0,-41.0,-59.0,NA,NA,1,-3,1,NA,NA,2,3,0,NA,NA
4,Middle Tennessee,Michigan State,4,5,12,2,15,2,3,13,15:00:00,15:02:41,132,604,42.0,83.0,179.0,397.0,0,9,-11,-48,10,3,-218.0,-41.0,37,-9,Middle TennesseeMichigan State,-177.0,-106.0,-100.0,0.0,NA,46,-1,-2,0,NA,10,5,3,0,NA,-71.0,-6.0,-41.0,-59.0,NA,47,1,-3,1,NA,5,2,3,0,NA
5,Middle Tennessee,Michigan State,5,6,15,2,17,4,0,13,15:02:41,15:04:59,80,684,29.0,49.0,208.0,446.0,3,-2,-8,-50,13,2,-238.0,-20.0,42,5,Middle TennesseeMichigan State,-218.0,-177.0,-106.0,-100.0,0.0,37,46,-1,-2,0,13,10,5,3,0,-41.0,-71.0,-6.0,-41.0,-59.0,-9,47,1,-3,1,3,5,2,3,0
6,Middle Tennessee,Michigan State,6,7,17,4,17,10,-6,7,15:04:59,15:07:30,82,766,20.0,54.0,228.0,500.0,1,-3,-7,-53,13,5,-272.0,-34.0,46,4,Middle TennesseeMichigan State,-238.0,-218.0,-177.0,-106.0,-100.0,42,37,46,-1,-2,13,13,10,5,3,-20.0,-41.0,-71.0,-6.0,-41.0,5,-9,47,1,-3,0,3,5,2,3
7,Middle Tennessee,Michigan State,7,8,17,10,20,10,3,10,15:07:30,15:10:19,83,849,27.0,58.0,255.0,558.0,-8,-1,-15,-54,7,3,-303.0,-31.0,39,-7,Middle TennesseeMichigan State,-272.0,-238.0,-218.0,-177.0,-106.0,46,42,37,46,-1,7,13,13,10,5,-34.0,-20.0,-41.0,-71.0,-6.0,4,5,-9,47,1,-6,0,3,5,2
8,Middle Tennessee,Michigan State,8,9,20,10,20,10,0,10,15:10:19,15:12:19,50,899,22.0,28.0,277.0,586.0,4,-7,-11,-61,10,0,-309.0,-6.0,50,11,Middle TennesseeMichigan State,-303.0,-272.0,-238.0,-218.0,-177.0,39,46,42,37,46,10,7,13,13,10,-31.0,-34.0,-20.0,-41.0,-71.0,-7,4,5,-9,47,3,-6,0,3,5
9,Middle Tennessee,Michigan State,9,10,20,10,20,13,-3,7,15:12:19,15:15:49,66,965,27.0,44.0,304.0,630.0,0,-4,-11,-65,10,-6,-326.0,-17.0,54,4,Middle TennesseeMichigan State,-309.0,-303.0,-272.0,-238.0,-218.0,50,39,46,42,37,10,10,7,13,13,-6.0,-31.0,-34.0,-20.0,-41.0,11,-7,4,5,-9,0,3,-6,0,3
10,Middle Tennessee,Michigan State,10,11,20,13,23,18,-2,5,15:15:49,15:18:33,61,1026,13.0,46.0,317.0,676.0,-4,1,-15,-64,7,3,-359.0,-33.0,49,-5,Middle TennesseeMichigan State,-326.0,-309.0,-303.0,-272.0,-238.0,54,50,39,46,42,7,10,10,7,13,-17.0,-6.0,-31.0,-34.0,-20.0,4,11,-7,4,5,-3,0,3,-6,0
11,Middle Tennessee,Michigan State,11,12,23,18,23,22,-4,1,15:18:33,15:21:09,56,1082,20.0,40.0,337.0,716.0,-12,-16,-27,-80,5,0,-379.0,-20.0,53,4,Middle TennesseeMichigan State,-359.0,-326.0,-309.0,-303.0,-272.0,49,54,50,39,46,5,7,10,10,7,-33.0,-17.0,-6.0,-31.0,-34.0,-5,4,11,-7,4,-2,-3,0,3,-6
12,Middle Tennessee,Michigan State,12,13,23,22,27,24,2,3,15:21:09,15:23:32,44,1126,13.0,36.0,350.0,752.0,-11,-5,-38,-85,1,-3,-402.0,-23.0,47,-6,Middle TennesseeMichigan State,-379.0,-359.0,-326.0,-309.0,-303.0,53,49,54,50,39,1,5,7,10,10,-20.0,-33.0,-17.0,-6.0,-31.0,4,-5,4,11,-7,-4,-2,-3,0,3
13,Middle Tennessee,Michigan State,13,14,27,24,29,26,0,3,15:23:32,15:25:47,58,1184,28.0,35.0,378.0,787.0,0,-13,-38,-98,3,-2,-409.0,-7.0,60,13,Middle TennesseeMichigan State,-402.0,-379.0,-359.0,-326.0,-309.0,47,53,49,54,50,3,1,5,7,10,-23.0,-20.0,-33.0,-17.0,-6.0,-6,4,-5,4,11,2,-4,-2,-3,0
14,Middle Tennessee,Michigan State,14,15,29,26,35,26,6,9,15:25:47,15:28:46,99,1283,43.0,58.0,421.0,845.0,-18,-25,-56,-123,3,-4,-424.0,-15.0,67,7,Middle TennesseeMichigan State,-409.0,-402.0,-379.0,-359.0,-326.0,60,47,53,49,54,3,3,1,5,7,-7.0,-23.0,-20.0,-33.0,-17.0,13,-6,4,-5,4,0,2,-4,-2,-3
15,Middle Tennessee,Michigan State,15,16,35,26,35,29,-3,6,15:28:46,15:31:25,61,1344,31.0,37.0,452.0,882.0,-4,-6,-60,-129,9,2,-430.0,-6.0,69,2,Middle TennesseeMichigan State,-424.0,-409.0,-402.0,-379.0,-359.0,67,60,47,53,49,9,3,3,1,5,-15.0,-7.0,-23.0,-20.0,-33.0,7,13,-6,4,-5,6,0,2,-4,-2
16,Middle Tennessee,Michigan State,16,17,35,29,35,29,0,6,15:31:25,15:34:04,65,1409,32.0,34.0,484.0,916.0,-25,-13,-85,-142,6,0,-432.0,-2.0,57,-12,Middle TennesseeMichigan State,-430.0,-424.0,-409.0,-402.0,-379.0,69,67,60,47,53,6,9,3,3,1,-6.0,-15.0,-7.0,-23.0,-20.0,2,7,13,-6,4,-3,6,0,2,-4
17,Middle Tennessee,Michigan State,17,18,35,29,37,30,1,7,15:34:04,15:36:24,94,1503,42.0,54.0,526.0,970.0,-10,-7,-95,-149,6,6,-444.0,-12.0,54,-3,Middle TennesseeMichigan State,-432.0,-430.0,-424.0,-409.0,-402.0,57,69,67,60,47,6,6,9,3,3,-2.0,-6.0,-15.0,-7.0,-23.0,-12,2,7,13,-6,0,-3,6,0,2
18,Middle Tennessee,Michigan State,18,19,37,30,41,33,1,8,15:36:24,15:38:29,114,1617,48.0,71.0,574.0,1041.0,-21,-30,-116,-179,7,-3,-467.0,-23.0,63,9,Middle TennesseeMichigan State,-444.0,-432.0,-430.0,-424.0,-409.0,54,57,69,67,60,7,6,6,9,3,-12.0,-2.0,-6.0,-15.0,-7.0,-3,-12,2,7,13,1,0,-3,6,0
19,Middle Tennessee,Michigan State,19,20,41,33,41,35,-2,6,15:38:29,15:40:55,104,1721,43.0,70.0,617.0,1111.0,-14,-19,-130,-198,8,0,-494.0,-27.0,68,5,Middle TennesseeMichigan State,-467.0,-444.0,-432.0,-430.0,-424.0,63,54,57,69,67,8,7,6,6,9,-23.0,-12.0,-2.0,-6.0,-15.0,9,-3,-12,2,7,1,1,0,-3,6
20,Middle Tennessee,Michigan State,20,21,41,35,43,38,-1,5,15:40:55,16:03:59,696,2417,319.0,387.0,936.0,1498.0,-38,-74,-168,-272,6,1,-562.0,-68.0,104,36,Middle TennesseeMichigan State,-494.0,-467.0,-444.0,-432.0,-430.0,68,63,54,57,69,6,8,7,6,6,-27.0,-23.0,-12.0,-2.0,-6.0,5,9,-3,-12,2,-2,1,1,0,-3
21,Middle Tennessee,Michigan State,21,22,43,38,45,40,0,5,16:03:59,16:07:09,214,2631,83.0,126.0,1019.0,1624.0,-14,26,-182,-246,5,1,-605.0,-43.0,64,-40,Middle TennesseeMichigan State,-562.0,-494.0,-467.0,-444.0,-432.0,104,68,63,54,57,5,6,8,7,6,-68.0,-27.0,-23.0,-12.0,-2.0,36,5,9,-3,-12,-1,-2,1,1,0
22,Middle Tennessee,Michigan State,22,23,45,40,45,43,-3,2,16:07:09,16:09:37,121,2752,44.0,73.0,1063.0,1697.0,-22,-20,-204,-266,5,-2,-634.0,-29.0,62,-2,Middle TennesseeMichigan State,-605.0,-562.0,-494.0,-467.0,-444.0,64,104,68,63,54,5,5,6,8,7,-43.0,-68.0,-27.0,-23.0,-12.0,-40,36,5,9,-3,0,-1,-2,1,1
23,Middle Tennessee,Michigan State,23,24,45,43,49,43,4,6,16:09:37,16:12:03,140,2892,56.0,81.0,1119.0,1778.0,3,-26,-201,-292,2,-1,-659.0,-25.0,91,29,Middle TennesseeMichigan State,-634.0,-605.0,-562.0,-494.0,-467.0,62,64,104,68,63,2,5,5,6,8,-29.0,-43.0,-68.0,-27.0,-23.0,-2,-40,36,5,9,-3,0,-1,-2,1
24,Middle Tennessee,Michigan State,24,25,49,43,51,46,-1,5,16:12:03,16:14:23,164,3056,72.0,88.0,1191.0,1866.0,-8,-16,-209,-308,6,0,-675.0,-16.0,99,8,Middle TennesseeMichigan State,-659.0,-634.0,-605.0,-562.0,-494.0,91,62,64,104,68,6,2,5,5,6,-25.0,-29.0,-43.0,-68.0,-27.0,29,-2,-40,36,5,4,-3,0,-1,-2
25,Middle Tennessee,Michigan State,25,26,51,46,54,46,3,8,16:14:23,16:17:31,169,3225,54.0,105.0,1245.0,1971.0,-20,-18,-229,-326,5,-3,-726.0,-51.0,97,-2,Middle TennesseeMichigan State,-675.0,-659.0,-634.0,-605.0,-562.0,99,91,62,64,104,5,6,2,5,5,-16.0,-25.0,-29.0,-43.0,-68.0,8,29,-2,-40,36,-1,4,-3,0,-1
26,Middle Tennessee,Michigan State,26,27,54,46,54,48,-2,6,16:17:31,16:20:03,156,3381,53.0,93.0,1298.0,2064.0,-13,-22,-242,-348,8,4,-766.0,-40.0,106,9,Middle TennesseeMichigan State,-726.0,-675.0,-659.0,-634.0,-605.0,97,99,91,62,64,8,5,6,2,5,-51.0,-16.0,-25.0,-29.0,-43.0,-2,8,29,-2,-40,3,-1,4,-3,0
27,Middle Tennessee,Michigan State,27,28,54,48,60,51,3,9,16:20:03,16:22:24,189,3570,27.0,157.0,1325.0,2221.0,-4,-13,-246,-361,6,-1,-896.0,-130.0,115,9,Middle TennesseeMichigan State,-766.0,-726.0,-675.0,-659.0,-634.0,106,97,99,91,62,6,8,5,6,2,-40.0,-51.0,-16.0,-25.0,-29.0,9,-2,8,29,-2,-2,3,-1,4,-3
28,Middle Tennessee,Michigan State,28,29,60,51,62,55,-2,7,16:22:24,16:24:45,125,3695,27.0,96.0,1352.0,2317.0,-4,8,-250,-353,9,3,-965.0,-69.0,103,-12,Middle TennesseeMichigan State,-896.0,-766.0,-726.0,-675.0,-659.0,115,106,97,99,91,9,6,8,5,6,-130.0,-40.0,-51.0,-16.0,-25.0,9,9,-2,8,29,3,-2,3,-1,4
29,Middle Tennessee,Michigan State,29,30,62,55,64,57,0,7,16:24:45,16:27:49,156,3851,48.0,98.0,1400.0,2415.0,-9,-25,-259,-378,7,-2,-1015.0,-50.0,119,16,Middle TennesseeMichigan State,-965.0,-896.0,-766.0,-726.0,-675.0,103,115,106,97,99,7,9,6,8,5,-69.0,-130.0,-40.0,-51.0,-16.0,-12,9,9,-2,8,-2,3,-2,3,-1
30,Middle Tennessee,Michigan State,30,31,64,57,65,59,-1,6,16:27:49,16:30:31,199,4050,66.0,110.0,1466.0,2525.0,2,-3,-257,-381,7,3,-1059.0,-44.0,124,5,Middle TennesseeMichigan State,-1015.0,-965.0,-896.0,-766.0,-726.0,119,103,115,106,97,7,7,9,6,8,-50.0,-69.0,-130.0,-40.0,-51.0,16,-12,9,9,-2,0,-2,3,-2,3
31,Middle Tennessee,Michigan State,31,32,65,59,65,64,-5,1,16:30:31,16:32:58,210,4260,71.0,131.0,1537.0,2656.0,-6,-27,-263,-408,6,-2,-1119.0,-60.0,145,21,Middle TennesseeMichigan State,-1059.0,-1015.0,-965.0,-896.0,-766.0,124,119,103,115,106,6,7,7,9,6,-44.0,-50.0,-69.0,-130.0,-40.0,5,16,-12,9,9,-1,0,-2,3,-2
32,Middle Tennessee,Michigan State,32,33,65,64,71,66,4,5,16:32:58,16:35:19,252,4512,79.0,150.0,1616.0,2806.0,-22,-25,-285,-433,1,0,-1190.0,-71.0,148,3,Middle TennesseeMichigan State,-1119.0,-1059.0,-1015.0,-965.0,-896.0,145,124,119,103,115,1,6,7,7,9,-60.0,-44.0,-50.0,-69.0,-130.0,21,5,16,-12,9,-5,-1,0,-2,3
33,Middle Tennessee,Michigan State,33,34,71,66,73,69,-1,4,16:35:19,16:37:57,342,4854,94.0,207.0,1710.0,3013.0,-3,-48,-288,-481,5,-1,-1303.0,-113.0,193,45,Middle TennesseeMichigan State,-1190.0,-1119.0,-1059.0,-1015.0,-965.0,148,145,124,119,103,5,1,6,7,7,-71.0,-60.0,-44.0,-50.0,-69.0,3,21,5,16,-12,4,-5,-1,0,-2
34,Middle Tennessee,Michigan State,34,35,73,69,75,71,0,4,16:37:57,16:40:57,293,5147,113.0,152.0,1823.0,3165.0,-5,-34,-293,-515,4,-5,-1342.0,-39.0,222,29,Middle TennesseeMichigan State,-1303.0,-1190.0,-1119.0,-1059.0,-1015.0,193,148,145,124,119,4,5,1,6,7,-113.0,-71.0,-60.0,-44.0,-50.0,45,3,21,5,16,-1,4,-5,-1,0
35,Middle Tennessee,Michigan State,35,36,75,71,77,74,-1,3,16:40:57,16:43:07,217,5364,66.0,126.0,1889.0,3291.0,-9,-39,-302,-554,4,4,-1402.0,-60.0,252,30,Middle TennesseeMichigan State,-1342.0,-1303.0,-1190.0,-1119.0,-1059.0,222,193,148,145,124,4,4,5,1,6,-39.0,-113.0,-71.0,-60.0,-44.0,29,45,3,21,5,0,-1,4,-5,-1
36,Middle Tennessee,Michigan State,36,37,77,74,79,76,0,3,16:43:07,16:46:07,900,6264,280.0,353.0,2169.0,3644.0,-38,-99,-340,-653,3,-1,-1475.0,-73.0,313,61,Middle TennesseeMichigan State,-1402.0,-1342.0,-1303.0,-1190.0,-1119.0,252,222,193,148,145,3,4,4,5,1,-60.0,-39.0,-113.0,-71.0,-60.0,30,29,45,3,21,-1,0,-1,4,-5
37,Middle Tennessee,Michigan State,37,38,79,76,79,76,0,3,16:46:07,16:48:14,1467,7731,486.0,628.0,2655.0,4272.0,-36,-160,-376,-813,3,0,-1617.0,-142.0,437,124,Middle TennesseeMichigan State,-1475.0,-1402.0,-1342.0,-1303.0,-1190.0,313,252,222,193,148,3,3,4,4,5,-73.0,-60.0,-39.0,-113.0,-71.0,61,30,29,45,3,0,-1,0,-1,4
38,Middle Tennessee,Michigan State,38,39,79,76,79,76,0,3,16:48:14,16:51:03,1558,9289,516.0,771.0,3171.0,5043.0,-93,-192,-469,-1005,3,-1,-1872.0,-255.0,536,99,Middle TennesseeMichigan State,-1617.0,-1475.0,-1402.0,-1342.0,-1303.0,437,313,252,222,193,3,3,3,4,4,-142.0,-73.0,-60.0,-39.0,-113.0,124,61,30,29,45,0,0,-1,0,-1
39,Middle Tennessee,Michigan State,39,40,79,76,90,81,6,9,16:51:03,16:53:46,2061,11350,789.0,1010.0,3960.0,6053.0,-30,-181,-499,-1186,3,0,-2093.0,-221.0,687,151,Middle TennesseeMichigan State,-1872.0,-1617.0,-1475.0,-1402.0,-1342.0,536,437,313,252,222,3,3,3,3,4,-255.0,-142.0,-73.0,-60.0,-39.0,99,124,61,30,29,0,0,0,-1,0
40,Holy Cross,Oregon,0,1,0,0,0,2,0,-2,19:50:00,19:52:19,58,0,12.0,45.0,0.0,0.0,8,3,0,0,0,NA,0.0,-33.0,0,5,Holy CrossOregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Holy Cross,Oregon,1,2,0,2,0,2,0,-2,19:52:19,19:53:57,42,100,10.0,28.0,22.0,73.0,1,5,9,8,-2,NA,-51.0,-18.0,1,-4,Holy CrossOregon,0.0,NA,NA,NA,NA,0,NA,NA,NA,NA,-2,NA,NA,NA,NA,-33.0,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA
42,Holy Cross,Oregon,2,3,0,2,0,5,-3,-5,19:53:57,19:56:44,43,143,9.0,32.0,31.0,105.0,-1,-1,8,7,-2,NA,-74.0,-23.0,1,0,Holy CrossOregon,-51.0,0.0,NA,NA,NA,1,0,NA,NA,NA,-2,-2,NA,NA,NA,-18.0,-33.0,NA,NA,NA,-4,5,NA,NA,NA,0,0,NA,NA,NA
43,Holy Cross,Oregon,5,6,2,9,4,9,2,-5,20:01:55,20:04:22,24,247,8.0,15.0,53.0,183.0,2,6,5,21,-7,0,-130.0,-7.0,-16,-4,Holy CrossOregon,-74.0,-51.0,0.0,NA,NA,1,1,0,NA,NA,-5,-2,-2,NA,NA,-23.0,-18.0,-33.0,NA,NA,0,-4,5,NA,NA,-3,0,0,NA,NA
44,Holy Cross,Oregon,6,7,4,9,4,12,-3,-8,20:04:22,20:06:37,22,269,4.0,16.0,57.0,199.0,1,-1,6,20,-5,0,-142.0,-12.0,-14,2,Holy CrossOregon,-130.0,-74.0,-51.0,0.0,NA,-16,1,1,0,NA,-5,-5,-2,-2,NA,-7.0,-23.0,-18.0,-33.0,NA,-4,0,-4,5,NA,2,-3,0,0,NA
45,Holy Cross,Oregon,7,8,4,12,4,12,0,-8,20:06:37,20:09:04,16,285,5.0,9.0,62.0,208.0,0,0,6,20,-8,-3,-146.0,-4.0,-14,0,Holy CrossOregon,-142.0,-130.0,-74.0,-51.0,0.0,-14,-16,1,1,0,-8,-5,-5,-2,-2,-12.0,-7.0,-23.0,-18.0,-33.0,2,-4,0,-4,5,-3,2,-3,0,0
46,Holy Cross,Oregon,8,9,4,12,6,16,-2,-10,20:09:04,20:11:41,31,316,9.0,21.0,71.0,229.0,-1,4,5,24,-8,2,-158.0,-12.0,-19,-5,Holy CrossOregon,-146.0,-142.0,-130.0,-74.0,-51.0,-14,-14,-16,1,1,-8,-8,-5,-5,-2,-4.0,-12.0,-7.0,-23.0,-18.0,0,2,-4,0,-4,0,-3,2,-3,0
47,Holy Cross,Oregon,9,10,6,16,8,19,-1,-11,20:11:41,20:13:58,30,346,11.0,20.0,82.0,249.0,2,3,7,27,-10,-3,-167.0,-9.0,-20,-1,Holy CrossOregon,-158.0,-146.0,-142.0,-130.0,-74.0,-19,-14,-14,-16,1,-10,-8,-8,-5,-5,-12.0,-4.0,-12.0,-7.0,-23.0,-5,0,2,-4,0,-2,0,-3,2,-3
48,Holy Cross,Oregon,10,11,8,19,11,23,-1,-12,20:13:58,20:16:29,39,385,8.0,30.0,90.0,279.0,-2,-5,5,22,-11,0,-189.0,-22.0,-17,3,Holy CrossOregon,-167.0,-158.0,-146.0,-142.0,-130.0,-20,-19,-14,-14,-16,-11,-10,-8,-8,-5,-9.0,-12.0,-4.0,-12.0,-7.0,-1,-5,0,2,-4,-1,-2,0,-3,2
49,Holy Cross,Oregon,11,12,11,23,14,27,-1,-13,20:16:29,20:19:11,80,465,10.0,62.0,100.0,341.0,-2,10,3,32,-12,-2,-241.0,-52.0,-29,-12,Holy CrossOregon,-189.0,-167.0,-158.0,-146.0,-142.0,-17,-20,-19,-14,-14,-12,-11,-10,-8,-8,-22.0,-9.0,-12.0,-4.0,-12.0,3,-1,-5,0,2,-1,-1,-2,0,-3
50,Holy Cross,Oregon,12,13,14,27,16,29,0,-13,20:19:11,20:21:26,39,504,2.0,31.0,102.0,372.0,-1,3,2,35,-13,-1,-270.0,-29.0,-33,-4,Holy CrossOregon,-241.0,-189.0,-167.0,-158.0,-146.0,-29,-17,-20,-19,-14,-13,-12,-11,-10,-8,-52.0,-22.0,-9.0,-12.0,-4.0,-12,3,-1,-5,0,-1,-1,-1,-2,0
51,Holy Cross,Oregon,13,14,16,29,16,33,-4,-17,20:21:26,20:24:15,41,545,6.0,31.0,108.0,403.0,1,8,3,43,-13,-1,-295.0,-25.0,-40,-7,Holy CrossOregon,-270.0,-241.0,-189.0,-167.0,-158.0,-33,-29,-17,-20,-19,-13,-13,-12,-11,-10,-29.0,-52.0,-22.0,-9.0,-12.0,-4,-12,3,-1,-5,0,-1,-1,-1,-2
52,Holy Cross,Oregon,14,15,16,33,19,36,0,-17,20:24:15,20:25:36,24,569,3.0,18.0,111.0,421.0,2,-4,5,39,-17,-1,-310.0,-15.0,-34,6,Holy CrossOregon,-295.0,-270.0,-241.0,-189.0,-167.0,-40,-33,-29,-17,-20,-17,-13,-13,-12,-11,-25.0,-29.0,-52.0,-22.0,-9.0,-7,-4,-12,3,-1,-4,0,-1,-1,-1
53,Holy Cross,Oregon,15,16,19,36,19,38,-2,-19,20:25:36,20:28:32,36,605,5.0,32.0,116.0,453.0,1,-2,6,37,-17,0,-337.0,-27.0,-31,3,Holy CrossOregon,-310.0,-295.0,-270.0,-241.0,-189.0,-34,-40,-33,-29,-17,-17,-17,-13,-13,-12,-15.0,-25.0,-29.0,-52.0,-22.0,6,-7,-4,-12,3,0,-4,0,-1,-1
54,Holy Cross,Oregon,16,17,19,38,21,40,0,-19,20:28:32,20:31:19,64,669,5.0,53.0,121.0,506.0,0,-11,6,26,-19,-4,-385.0,-48.0,-20,11,Holy CrossOregon,-337.0,-310.0,-295.0,-270.0,-241.0,-31,-34,-40,-33,-29,-19,-17,-17,-13,-13,-27.0,-15.0,-25.0,-29.0,-52.0,3,6,-7,-4,-12,-2,0,-4,0,-1
55,Holy Cross,Oregon,17,18,21,40,23,40,2,-17,20:31:19,20:33:38,75,744,8.0,69.0,129.0,575.0,1,36,7,62,-19,0,-446.0,-61.0,-55,-35,Holy CrossOregon,-385.0,-337.0,-310.0,-295.0,-270.0,-20,-31,-34,-40,-33,-19,-19,-17,-17,-13,-48.0,-27.0,-15.0,-25.0,-29.0,11,3,6,-7,-4,0,-2,0,-4,0
56,Holy Cross,Oregon,18,19,23,40,25,41,1,-16,20:33:38,20:36:25,34,778,6.0,25.0,135.0,600.0,1,11,8,73,-17,-2,-465.0,-19.0,-65,-10,Holy CrossOregon,-446.0,-385.0,-337.0,-310.0,-295.0,-55,-20,-31,-34,-40,-17,-19,-19,-17,-17,-61.0,-48.0,-27.0,-15.0,-25.0,-35,11,3,6,-7,2,0,-2,0,-4
57,Holy Cross,Oregon,19,20,25,41,25,43,-2,-18,20:36:25,20:38:55,18,796,6.0,14.0,141.0,614.0,-1,5,7,78,-16,0,-473.0,-8.0,-71,-6,Holy CrossOregon,-465.0,-446.0,-385.0,-337.0,-310.0,-65,-55,-20,-31,-34,-16,-17,-19,-19,-17,-19.0,-61.0,-48.0,-27.0,-15.0,-10,-35,11,3,6,1,2,0,-2,0
58,Holy Cross,Oregon,20,21,25,43,25,46,-3,-21,20:38:55,21:00:59,256,1052,46.0,210.0,187.0,824.0,-4,31,3,109,-18,2,-637.0,-164.0,-106,-35,Holy CrossOregon,-473.0,-465.0,-446.0,-385.0,-337.0,-71,-65,-55,-20,-31,-18,-16,-17,-19,-19,-8.0,-19.0,-61.0,-48.0,-27.0,-6,-10,-35,11,3,-2,1,2,0,-2
59,Holy Cross,Oregon,21,22,25,46,25,46,0,-21,21:00:59,21:03:34,17,1069,0.0,12.0,187.0,836.0,0,2,3,111,-21,1,-649.0,-12.0,-108,-2,Holy CrossOregon,-637.0,-473.0,-465.0,-446.0,-385.0,-106,-71,-65,-55,-20,-21,-18,-16,-17,-19,-164.0,-8.0,-19.0,-61.0,-48.0,-35,-6,-10,-35,11,-3,-2,1,2,0
60,Holy Cross,Oregon,22,23,25,46,27,48,0,-21,21:03:34,21:06:13,13,1082,6.0,7.0,193.0,843.0,-2,3,1,114,-21,-2,-650.0,-1.0,-113,-5,Holy CrossOregon,-649.0,-637.0,-473.0,-465.0,-446.0,-108,-106,-71,-65,-55,-21,-21,-18,-16,-17,-12.0,-164.0,-8.0,-19.0,-61.0,-2,-35,-6,-10,-35,0,-3,-2,1,2
61,Holy Cross,Oregon,23,24,27,48,27,52,-4,-25,21:06:13,21:08:40,24,1106,1.0,23.0,194.0,866.0,-2,5,-1,119,-21,-3,-672.0,-22.0,-120,-7,Holy CrossOregon,-650.0,-649.0,-637.0,-473.0,-465.0,-113,-108,-106,-71,-65,-21,-21,-21,-18,-16,-1.0,-12.0,-164.0,-8.0,-19.0,-5,-2,-35,-6,-10,0,0,-3,-2,1
62,Holy Cross,Oregon,24,25,27,52,29,54,0,-25,21:08:40,21:10:40,26,1132,1.0,24.0,195.0,890.0,-2,-8,-3,111,-25,0,-695.0,-23.0,-114,6,Holy CrossOregon,-672.0,-650.0,-649.0,-637.0,-473.0,-120,-113,-108,-106,-71,-25,-21,-21,-21,-18,-22.0,-1.0,-12.0,-164.0,-8.0,-7,-5,-2,-35,-6,-4,0,0,-3,-2
63,Holy Cross,Oregon,25,26,29,54,29,57,-3,-28,21:10:40,21:13:27,37,1169,4.0,33.0,199.0,923.0,1,-8,-2,103,-25,0,-724.0,-29.0,-105,9,Holy CrossOregon,-695.0,-672.0,-650.0,-649.0,-637.0,-114,-120,-113,-108,-106,-25,-25,-21,-21,-21,-23.0,-22.0,-1.0,-12.0,-164.0,6,-7,-5,-2,-35,0,-4,0,0,-3
