Filename,Filename_old,espn_id,Round,StartDate,EndDate,Team1,Team2,Start,End,End Time Source,DT_Start,DT_End
MichStateMiddTenn_clean.csv,MichStateMiddTenn.csv,400871286,R64,18-Mar,18-Mar,Middle Tennessee,Michigan State,14:50,16:54,https://twitter.com/marchmadness/status/710932528715198464,3/18/2016 14:50:00,3/18/2016 16:54:00
OregonHC_clean.csv,OregonHC.csv,400871253,R64,18-Mar,18-Mar,Holy Cross,Oregon,19:50,21:48,https://twitter.com/marchmadness/status/711006483111124992,3/18/2016 19:50:00,3/18/2016 21:48:00
VillanovaAsheville_clean.csv,VillanovaAsheville.csv,400871251,R64,18-Mar,18-Mar,UNC Asheville,Villanova,12:40,14:39,https://twitter.com/marchmadness/status/710898498481332225,3/18/2016 12:40:00,3/18/2016 14:39:00
OklaCSU_clean.csv,OklaCSU.csv,400871256,R64,18-Mar,18-Mar,CSU Bakersfield,Oklahoma,16:09,18:20,https://twitter.com/marchmadness/status/710954042839670785,3/18/2016 16:09:00,3/18/2016 18:20:00
WvuSFA_clean.csv,WvuSFA.csv,400871261,R64,18-Mar,18-Mar,Stephen F. Austin,West Virginia,19:10,21:39,https://twitter.com/marchmadness/status/711004214231736321,3/18/2016 19:10:00,3/18/2016 21:39:00
XavierWeberState_clean.csv,XavierWeberState.csv,400871281,R64,18-Mar,18-Mar,Weber State,Xavier,21:20,23:14,https://twitter.com/marchmadness/status/711028161467781120,3/18/2016 21:20:00,3/18/2016 23:14:00
TexasGB_clean.csv,TexasGB.csv,400871278,R64,18-Mar,18-Mar,Green Bay,Texas A&M,19:20,21:30,https://twitter.com/marchmadness/status/711001932920389632,3/18/2016 19:20:00,3/18/2016 21:30:00
MarylandSDSU_clean.csv,MarylandSDSU.csv,400871270,R64,18-Mar,18-Mar,South Dakota State,Maryland,16:48,19:02,https://twitter.com/marchmadness/status/710964579141099521,3/18/2016 16:48:00,3/18/2016 19:02:00
CalHawaii_clean.csv,CalHawaii.csv,400871271,R64,18-Mar,18-Mar,Hawaii,California,14:00,16:15,https://twitter.com/marchmadness/status/710922705797828612,3/18/2016 14:00:00,3/18/2016 16:15:00
IowaTemple_clean.csv,IowaTemple.csv,400871252,R64,18-Mar,18-Mar,Temple,Iowa,15:12,17:33,https://twitter.com/marchmadness/status/710942181775773696,3/18/2016 15:12:00,3/18/2016 17:33:00
DaytonSyracuse_clean.csv,DaytonSyracuse.csv,400871265,R64,18-Mar,18-Mar,Syracuse,Dayton,12:15,14:18,https://twitter.com/marchmadness/status/710893089263652864,3/18/2016 12:15:00,3/18/2016 14:18:00
OregonStateVCU_clean.csv,OregonStateVCU.csv,400871277,R64,18-Mar,18-Mar,VCU,Oregon State,13:30,15:37,https://twitter.com/marchmadness/status/710913066435780608,3/18/2016 13:30:00,3/18/2016 15:37:00
WiscoPit_clean.csv,WiscoPit.csv,400871282,R64,18-Mar,18-Mar,Pittsburgh,Wisconsin,18:50,20:48,https://twitter.com/marchmadness/status/710991242683924480,3/18/2016 18:50:00,3/18/2016 20:48:00
TexasNorthernIowa_clean.csv,TexasNorthernIowa.csv,400871257,R64,18-Mar,19-Mar,Northern Iowa,Texas,22:03,0:20,https://twitter.com/marchmadness/status/711044770529804289,3/18/2016 22:03:00,3/19/2016 00:20:00
NDMichigan_clean.csv,NDMichigan.csv,400871262,R64,18-Mar,19-Mar,Michigan,Notre Dame,22:12,0:06,https://twitter.com/marchmadness/status/711041227425193984,3/18/2016 22:12:00,3/19/2016 00:06:00
StJosephsCincinnati_clean.csv,StJosephsCincinnati.csv,400871275,R64,18-Mar,19-Mar,Cincinnati,Saint Joseph's,22:18,0:24,https://twitter.com/marchmadness/status/711045677250420736,3/18/2016 22:18:00,3/19/2016 00:24:00
KansasConn_clean.csv,KansasConn.csv,400872131,R32,19-Mar,19-Mar,Connecticut,Kansas,20:07,22:15,https://twitter.com/marchmadness/status/711375561386545153,3/19/2016 20:07:00,3/19/2016 22:15:00
UNCProvidence_clean.csv,UNCProvidence.csv,400546909,R32,19-Mar,19-Mar,UNC,Providence,21:40,23:48,https://twitter.com/marchmadness/status/711398945335992320,3/19/2016 21:40:00,3/19/2016 23:48:00
UVAButler_clean.csv,UVAButler.csv,400872129,R32,19-Mar,19-Mar,Butler,Virginia,19:10,21:09,https://twitter.com/marchmadness/status/711358860280373248,3/19/2016 19:10:00,3/19/2016 21:09:00
MiamiWichita_clean.csv,MiamiWichita.csv,400872163,R32,19-Mar,19-Mar,Wichita State,Miami,12:10,14:15,https://twitter.com/marchmadness/status/711254834775728129,3/19/2016 12:10:00,3/19/2016 14:15:00
KentuckyIndiana_clean.csv,KentuckyIndiana.csv,400872166,R32,19-Mar,19-Mar,Indiana,Kentucky,17:15,19:35,https://twitter.com/marchmadness/status/711335338875211776,3/19/2016 17:15:00,3/19/2016 19:35:00
UtahGonzaga_clean.csv,UtahGonzaga.csv,400872167,R32,19-Mar,19-Mar,Gonzaga,Utah,20:43,22:33,https://twitter.com/marchmadness/status/711380231643394048,3/19/2016 20:43:00,3/19/2016 22:33:00
DukeYale_clean.csv,DukeYale.csv,400872082,R32,19-Mar,19-Mar,Yale,Duke,14:48,16:56,https://twitter.com/marchmadness/status/711295399475191808,3/19/2016 14:48:00,3/19/2016 16:56:00
IowaStateALR_clean.csv,IowaStateALR.csv,400872132,R32,19-Mar,19-Mar,Arkansas-Little Rock,Iowa State,18:10,20:11,https://twitter.com/marchmadness/status/711344465546506241,3/19/2016 18:10:00,3/19/2016 20:11:00
OregonStJoes_clean.csv,OregonStJoes.csv,400872255,R32,20-Mar,21-Mar,Saint Joseph's,Oregon,21:54,0:09,https://twitter.com/marchmadness/status/711766616925667328,3/20/2016 21:54:00,3/21/2016 00:09:00
IowaVillanova_clean.csv,IowaVillanova.csv,400872214,R32,20-Mar,20-Mar,Iowa,Villanova,12:10,14:25,https://twitter.com/marchmadness/status/711617206858162177,3/20/2016 12:10:00,3/20/2016 14:25:00
vcuok_clean.csv,vcuok.csv,400872224,R32,20-Mar,20-Mar,VCU,Oklahoma,17:15,19:29,https://twitter.com/marchmadness/status/711696314149556228,3/20/2016 17:15:00,3/20/2016 19:29:00
WisconsonXavier_clean.csv,WisconsonXavier.csv,400872259,R32,20-Mar,20-Mar,Wisconsin,Xavier,20:36,22:41,https://twitter.com/marchmadness/status/711744462834237440,3/20/2016 20:36:00,3/20/2016 22:41:00
UNITexasAM_clean.csv,UNITexasAM.csv,400872229,R32,20-Mar,20-Mar,Northern Iowa,Texas A&M,20:02,22:55,https://twitter.com/marchmadness/status/711747931402080257,3/20/2016 20:02:00,3/20/2016 22:55:00
MdHawaii_clean.csv,MdHawaii.csv,400872218,R32,20-Mar,20-Mar,Hawaii,Maryland,19:10,21:21,https://twitter.com/marchmadness/status/711724301330862081,3/20/2016 19:10:00,3/20/2016 21:21:00
NDSFAustin_clean.csv,NDSFAustin.csv,400872251,R32,20-Mar,20-Mar,Stephen F. Austin,Notre Dame,14:40,16:49,https://twitter.com/marchmadness/status/711655893029490688,3/20/2016 14:40:00,3/20/2016 16:49:00
SyracuseMTSU_clean.csv,SyracuseMTSU.csv,400872223,R32,20-Mar,20-Mar,Middle Tennessee,Syracuse,18:10,20:04,https://twitter.com/marchmadness/status/711705085168979968,3/20/2016 18:10:00,3/20/2016 20:04:00
MDKansas_clean.csv,MDKansas.csv,400872333,R16,24-Mar,24-Mar,Maryland,Kansas,21:40,23:55,https://twitter.com/marchmadness/status/713212717214081024,3/24/2016 21:40:00,3/24/2016 23:55:00
DukeOregon_clean.csv,DukeOregon.csv,400872397,R16,24-Mar,25-Mar,Duke,Oregon,22:10,0:16,https://twitter.com/marchmadness/status/713217865416056832,3/24/2016 22:10:00,3/25/2016 00:16:00
MiamiNova_clean.csv,MiamiNova.csv,400872358,R16,24-Mar,24-Mar,Miami,Villanova,19:10,21:09,https://twitter.com/marchmadness/status/713170983893512192,3/24/2016 19:10:00,3/24/2016 21:09:00
TexAMOkla_clean.csv,TexAMOkla.csv,400872390,R16,24-Mar,24-Mar,Texas A&M,Oklahoma,19:37,21:38,https://twitter.com/marchmadness/status/713178293969817600,3/24/2016 19:37:00,3/24/2016 21:38:00
IndianaUnc_clean.csv,IndianaUnc.csv,400872339,R16,25-Mar,26-Mar,UNC,Indiana,22:04,0:21,https://twitter.com/marchmadness/status/713581638706442240,3/25/2016 22:04:00,3/26/2016 00:21:00
GonzagaSyracuse_clean.csv,GonzagaSyracuse.csv,400872391,R16,25-Mar,25-Mar,Gonzaga,Syracuse,21:45,23:48,https://twitter.com/marchmadness/status/713573336370913281,3/25/2016 21:45:00,3/25/2016 23:48:00
OregonOkla_clean.csv,OregonOkla.csv,400873026,R8,26-Mar,26-Mar,Oklahoma,Oregon,18:09,20:11,https://twitter.com/marchmadness/status/713881105498292224,3/26/2016 18:09:00,3/26/2016 20:11:00
KansasVillanova_clean.csv,KansasVillanova.csv,400873025,R8,26-Mar,26-Mar,Villanova,Kansas,20:49,23:00,https://twitter.com/marchmadness/status/713923643596734464,3/26/2016 20:49:00,3/26/2016 23:00:00
UVAcuse_clean.csv,UVAcuse.csv,400873156,R8,27-Mar,27-Mar,Syracuse,Virginia,18:09,20:14,https://twitter.com/marchmadness/status/714244132244471808,3/27/2016 18:09:00,3/27/2016 20:14:00
UncND_clean.csv,UncND.csv,400873157,R8,27-Mar,27-Mar,UNC,Notre Dame,20:49,22:52,https://twitter.com/marchmadness/status/714283915125592064,3/27/2016 20:49:00,3/27/2016 22:52:00
UNCVillanova_clean.csv,UNCVillanova.csv,400873651,R2,4-Apr,4-Apr,UNC,Villanova,21:19,23:28,https://twitter.com/marchmadness/status/717192088937304064,4/04/2016 21:19:00,4/04/2016 23:28:00
